id,cue,response,response_position,response_level,gender,education
35,intelligence,astute,4,1,female,high school
35,intelligence,quick-witted,5,1,female,high school
36,intelligence,data,1,1,female,high school
36,intelligence,information,2,1,female,high school
36,intelligence,comprehension,3,1,female,high school
36,intelligence,expertise,4,1,female,high school
36,intelligence,enlightenment,5,1,female,high school
37,intelligence,mental,1,1,female,high school
37,intelligence,acuity,2,1,female,high school
37,intelligence,proficiency,3,1,female,high school
37,intelligence,rationality,4,1,female,high school
37,intelligence,mastery,5,1,female,high school
38,intelligence,neurons,1,1,female,high school
38,intelligence,cognitive,2,1,female,high school
38,intelligence,scholarly,3,1,female,high school
38,intelligence,informed,4,1,female,high school
38,intelligence,proficient,5,1,female,high school
39,intelligence,intuition,1,1,female,high school
39,intelligence,ingenuity,2,1,female,high school
39,intelligence,sharpness,3,1,female,high school
39,intelligence,discernment,4,1,female,high school
39,intelligence,judgement,5,1,female,high school
40,intelligence,reflective,1,1,female,high school
40,intelligence,conceptual,2,1,female,high school
40,intelligence,resourceful,3,1,female,high school
40,intelligence,intellect,4,1,female,high school
40,intelligence,aptitude,5,1,female,high school
41,intelligence,brain,1,1,female,high school
41,intelligence,knowledge,2,1,female,high school
41,intelligence,wisdom,3,1,female,high school
41,intelligence,insight,4,1,female,high school
41,intelligence,understanding,5,1,female,high school
42,intelligence,iq,1,1,female,high school
42,intelligence,genius,2,1,female,high school
42,intelligence,smart,3,1,female,high school
42,intelligence,cognitive,4,1,female,high school
42,intelligence,learn,5,1,female,high school
43,intelligence,creativity,1,1,female,high school
43,intelligence,problem-solving,2,1,female,high school
43,intelligence,innovation,3,1,female,high school
43,intelligence,intellect,4,1,female,high school
43,intelligence,comprehension,5,1,female,high school
44,intelligence,education,1,1,female,high school
44,intelligence,thought,2,1,female,high school
44,intelligence,perception,3,1,female,high school
44,intelligence,aptitude,4,1,female,high school
44,intelligence,analytical,5,1,female,high school
45,intelligence,logic,1,1,female,high school
45,intelligence,reasoning,2,1,female,high school
45,intelligence,intelligence quotient,3,1,female,high school
45,intelligence,mental ability,4,1,female,high school
45,intelligence,acumen,5,1,female,high school
46,intelligence,education,1,1,female,high school
46,intelligence,scholarship,2,1,female,high school
46,intelligence,savvy,3,1,female,high school
46,intelligence,genius,4,1,female,high school
46,intelligence,expertise,5,1,female,high school
47,intelligence,thinker,1,1,female,high school
47,intelligence,intellectual,2,1,female,high school
47,intelligence,philosopher,3,1,female,high school
47,intelligence,scholar,4,1,female,high school
47,intelligence,prodigy,5,1,female,high school
48,intelligence,clever,1,1,female,high school
48,intelligence,bright,2,1,female,high school
48,intelligence,keen,3,1,female,high school
48,intelligence,quick,4,1,female,high school
48,intelligence,shrewd,5,1,female,high school
49,intelligence,cognition,1,1,female,high school
49,intelligence,consciousness,2,1,female,high school
49,intelligence,mental capacity,3,1,female,high school
49,intelligence,brilliance,4,1,female,high school
49,intelligence,superior,5,1,female,high school
50,intelligence,neurons,1,1,female,high school
50,intelligence,synaptic,2,1,female,high school
50,intelligence,memory,3,1,female,high school
50,intelligence,consciousness,4,1,female,high school
50,intelligence,learning,5,1,female,high school
51,intelligence,brain,1,1,female,high school
51,intelligence,learning,2,1,female,high school
51,intelligence,wisdom,3,1,female,high school
51,intelligence,knowledge,4,1,female,high school
51,intelligence,insight,5,1,female,high school
52,intelligence,iq,1,1,female,high school
52,intelligence,genius,2,1,female,high school
52,intelligence,smart,3,1,female,high school
52,intelligence,clever,4,1,female,high school
52,intelligence,education,5,1,female,high school
53,intelligence,reasoning,1,1,female,high school
53,intelligence,logic,2,1,female,high school
53,intelligence,understanding,3,1,female,high school
53,intelligence,perception,4,1,female,high school
53,intelligence,thought,5,1,female,high school
54,intelligence,innovation,1,1,female,high school
54,intelligence,creativity,2,1,female,high school
54,intelligence,problem-solving,3,1,female,high school
54,intelligence,analysis,4,1,female,high school
54,intelligence,intelligence quotient,5,1,female,high school
55,intelligence,mind,1,1,female,high school
55,intelligence,intellectual,2,1,female,high school
55,intelligence,cognition,3,1,female,high school
55,intelligence,neuroscience,4,1,female,high school
55,intelligence,mental,5,1,female,high school
56,intelligence,savvy,1,1,female,high school
56,intelligence,acumen,2,1,female,high school
56,intelligence,brilliance,3,1,female,high school
56,intelligence,aptitude,4,1,female,high school
56,intelligence,ability,5,1,female,high school
57,intelligence,curiosity,1,1,female,high school
57,intelligence,discovery,2,1,female,high school
57,intelligence,intelligence agency,3,1,female,high school
57,intelligence,code-breaking,4,1,female,high school
57,intelligence,espionage,5,1,female,high school
58,intelligence,book-smart,1,1,female,high school
58,intelligence,street-smart,2,1,female,high school
58,intelligence,adaptive,3,1,female,high school
58,intelligence,cognitive,4,1,female,high school
58,intelligence,enlightened,5,1,female,high school
59,intelligence,scholar,1,1,female,high school
59,intelligence,professor,2,1,female,high school
59,intelligence,expertise,3,1,female,high school
59,intelligence,mastery,4,1,female,high school
59,intelligence,specialization,5,1,female,high school
60,intelligence,philosopher,1,1,female,high school
60,intelligence,theorist,2,1,female,high school
60,intelligence,mentor,3,1,female,high school
60,intelligence,sage,4,1,female,high school
60,intelligence,intuition,5,1,female,high school
61,intelligence,brain,1,1,female,high school
61,intelligence,genius,2,1,female,high school
61,intelligence,knowledge,3,1,female,high school
61,intelligence,iq,4,1,female,high school
61,intelligence,wisdom,5,1,female,high school
62,intelligence,learning,1,1,female,high school
62,intelligence,understanding,2,1,female,high school
62,intelligence,creativity,3,1,female,high school
62,intelligence,insight,4,1,female,high school
62,intelligence,reasoning,5,1,female,high school
63,intelligence,expertise,1,1,female,high school
63,intelligence,education,2,1,female,high school
63,intelligence,problem-solving,3,1,female,high school
63,intelligence,innovation,4,1,female,high school
63,intelligence,analysis,5,1,female,high school
64,intelligence,smart,1,1,female,high school
64,intelligence,thinker,2,1,female,high school
64,intelligence,logic,3,1,female,high school
64,intelligence,savvy,4,1,female,high school
64,intelligence,perceptive,5,1,female,high school
65,intelligence,cognitive,1,1,female,high school
65,intelligence,intellectual,2,1,female,high school
65,intelligence,mastery,3,1,female,high school
65,intelligence,proficiency,4,1,female,high school
65,intelligence,competence,5,1,female,high school
66,intelligence,memory,1,1,female,high school
66,intelligence,acumen,2,1,female,high school
66,intelligence,reflection,3,1,female,high school
66,intelligence,curiosity,4,1,female,high school
66,intelligence,enlightenment,5,1,female,high school
67,intelligence,strategy,1,1,female,high school
67,intelligence,intelligence quotient,2,1,female,high school
67,intelligence,comprehension,3,1,female,high school
67,intelligence,aptitude,4,1,female,high school
67,intelligence,skills,5,1,female,high school
68,intelligence,observation,1,1,female,high school
68,intelligence,discovery,2,1,female,high school
68,intelligence,ingenuity,3,1,female,high school
68,intelligence,scholarship,4,1,female,high school
68,intelligence,research,5,1,female,high school
69,intelligence,mind,1,1,female,high school
69,intelligence,talent,2,1,female,high school
69,intelligence,foresight,3,1,female,high school
69,intelligence,intuition,4,1,female,high school
69,intelligence,sophistication,5,1,female,high school
70,intelligence,synapses,1,1,female,high school
70,intelligence,neurons,2,1,female,high school
70,intelligence,cognition,3,1,female,high school
70,intelligence,informatics,4,1,female,high school
70,intelligence,data-processing,5,1,female,high school
71,intelligence,brain,1,1,female,high school
71,intelligence,iq,2,1,female,high school
71,intelligence,genius,3,1,female,high school
71,intelligence,understanding,4,1,female,high school
71,intelligence,knowledge,5,1,female,high school
72,intelligence,learning,1,1,female,high school
72,intelligence,wisdom,2,1,female,high school
72,intelligence,smart,3,1,female,high school
72,intelligence,cleverness,4,1,female,high school
72,intelligence,insight,5,1,female,high school
73,intelligence,education,1,1,female,high school
73,intelligence,analysis,2,1,female,high school
73,intelligence,thinking,3,1,female,high school
73,intelligence,savant,4,1,female,high school
73,intelligence,reasoning,5,1,female,high school
74,intelligence,cognitive,1,1,female,high school
74,intelligence,comprehension,2,1,female,high school
74,intelligence,innovation,3,1,female,high school
74,intelligence,creativity,4,1,female,high school
74,intelligence,acumen,5,1,female,high school
75,intelligence,memory,1,1,female,high school
75,intelligence,aptitude,2,1,female,high school
75,intelligence,expertise,3,1,female,high school
75,intelligence,proficiency,4,1,female,high school
75,intelligence,skill,5,1,female,high school
76,intelligence,intellect,1,1,female,high school
76,intelligence,rational,2,1,female,high school
76,intelligence,problem-solving,3,1,female,high school
76,intelligence,perception,4,1,female,high school
76,intelligence,logic,5,1,female,high school
77,intelligence,awareness,1,1,female,high school
77,intelligence,thought,2,1,female,high school
77,intelligence,einstein,3,1,female,high school
77,intelligence,intuition,4,1,female,high school
77,intelligence,erudition,5,1,female,high school
78,intelligence,neuroscience,1,1,female,high school
78,intelligence,research,2,1,female,high school
78,intelligence,discovery,3,1,female,high school
78,intelligence,scholarship,4,1,female,high school
78,intelligence,mastery,5,1,female,high school
79,intelligence,books,1,1,female,high school
79,intelligence,curiosity,2,1,female,high school
79,intelligence,mentality,3,1,female,high school
79,intelligence,puzzles,4,1,female,high school
79,intelligence,strategy,5,1,female,high school
80,intelligence,adaptability,1,1,female,high school
80,intelligence,mental,2,1,female,high school
80,intelligence,quick-witted,3,1,female,high school
80,intelligence,sage,4,1,female,high school
80,intelligence,philosopher,5,1,female,high school
81,intelligence,wisdom,1,1,female,high school
81,intelligence,learning,2,1,female,high school
81,intelligence,brain,3,1,female,high school
81,intelligence,knowledge,4,1,female,high school
81,intelligence,creativity,5,1,female,high school
82,intelligence,insight,1,1,female,high school
82,intelligence,understanding,2,1,female,high school
82,intelligence,innovation,3,1,female,high school
82,intelligence,perception,4,1,female,high school
82,intelligence,genius,5,1,female,high school
83,intelligence,analytical,1,1,female,high school
83,intelligence,iq,2,1,female,high school
83,intelligence,thought,3,1,female,high school
83,intelligence,reasoning,4,1,female,high school
83,intelligence,problem-solving,5,1,female,high school
84,intelligence,education,1,1,female,high school
84,intelligence,books,2,1,female,high school
84,intelligence,intelligence tests,3,1,female,high school
84,intelligence,expertise,4,1,female,high school
84,intelligence,memory,5,1,female,high school
85,intelligence,cognitive,1,1,female,high school
85,intelligence,comprehension,2,1,female,high school
85,intelligence,intelligence quotient,3,1,female,high school
85,intelligence,savvy,4,1,female,high school
85,intelligence,intellectual,5,1,female,high school
86,intelligence,strategy,1,1,female,high school
86,intelligence,logic,2,1,female,high school
86,intelligence,mental acuity,3,1,female,high school
86,intelligence,smart,4,1,female,high school
86,intelligence,neuroscience,5,1,female,high school
87,intelligence,puzzle,1,1,female,high school
87,intelligence,analysis,2,1,female,high school
87,intelligence,thinker,3,1,female,high school
87,intelligence,intellectuals,4,1,female,high school
87,intelligence,curiosity,5,1,female,high school
88,intelligence,enlightenment,1,1,female,high school
88,intelligence,cognition,2,1,female,high school
88,intelligence,mastery,3,1,female,high school
88,intelligence,acumen,4,1,female,high school
88,intelligence,alertness,5,1,female,high school
89,intelligence,intuition,1,1,female,high school
89,intelligence,proficiency,2,1,female,high school
89,intelligence,skill,3,1,female,high school
89,intelligence,conceptual,4,1,female,high school
89,intelligence,brainpower,5,1,female,high school
90,intelligence,mental,1,1,female,high school
90,intelligence,capacity,2,1,female,high school
90,intelligence,scholar,3,1,female,high school
90,intelligence,aptitude,4,1,female,high school
90,intelligence,intelligence agency,5,1,female,high school
91,intelligence,brain,1,1,female,high school
91,intelligence,learning,2,1,female,high school
91,intelligence,wisdom,3,1,female,high school
91,intelligence,insight,4,1,female,high school
91,intelligence,knowledge,5,1,female,high school
92,intelligence,iq,1,1,female,high school
92,intelligence,logic,2,1,female,high school
92,intelligence,creativity,3,1,female,high school
92,intelligence,understanding,4,1,female,high school
92,intelligence,problem-solving,5,1,female,high school
93,intelligence,genius,1,1,female,high school
93,intelligence,education,2,1,female,high school
93,intelligence,thought,3,1,female,high school
93,intelligence,perception,4,1,female,high school
93,intelligence,awareness,5,1,female,high school
94,intelligence,cognitive,1,1,female,high school
94,intelligence,analysis,2,1,female,high school
94,intelligence,reasoning,3,1,female,high school
94,intelligence,intellectual,4,1,female,high school
94,intelligence,mind,5,1,female,high school
95,intelligence,brilliance,1,1,female,high school
95,intelligence,savvy,2,1,female,high school
95,intelligence,cleverness,3,1,female,high school
95,intelligence,aptitude,4,1,female,high school
95,intelligence,mastery,5,1,female,high school
96,intelligence,innovation,1,1,female,high school
96,intelligence,thinker,2,1,female,high school
96,intelligence,intelligence quotient,3,1,female,high school
96,intelligence,ingenuity,4,1,female,high school
96,intelligence,neurology,5,1,female,high school
97,intelligence,smart,1,1,female,high school
97,intelligence,comprehension,2,1,female,high school
97,intelligence,expertise,3,1,female,high school
97,intelligence,intuition,4,1,female,high school
97,intelligence,strategy,5,1,female,high school
98,intelligence,philosophy,1,1,female,high school
98,intelligence,intellect,2,1,female,high school
98,intelligence,acumen,3,1,female,high school
98,intelligence,proficiency,4,1,female,high school
98,intelligence,intelligence,5,1,female,high school
99,intelligence,scholar,1,1,female,high school
99,intelligence,erudition,2,1,female,high school
99,intelligence,capacity,3,1,female,high school
99,intelligence,genius,4,1,female,high school
99,intelligence,curiosity,5,1,female,high school
100,intelligence,books,1,1,female,high school
100,intelligence,information,2,1,female,high school
100,intelligence,mentality,3,1,female,high school
100,intelligence,cognition,4,1,female,high school
100,intelligence,foresight,5,1,female,high school
101,intelligence,brain,1,1,female,high school
101,intelligence,knowledge,2,1,female,high school
101,intelligence,wisdom,3,1,female,high school
101,intelligence,insight,4,1,female,high school
101,intelligence,creativity,5,1,female,high school
102,intelligence,iq,1,1,female,high school
102,intelligence,genius,2,1,female,high school
102,intelligence,smart,3,1,female,high school
102,intelligence,thinker,4,1,female,high school
102,intelligence,analytical,5,1,female,high school
103,intelligence,learning,1,1,female,high school
103,intelligence,education,2,1,female,high school
103,intelligence,understanding,3,1,female,high school
103,intelligence,perception,4,1,female,high school
103,intelligence,intelligent,5,1,female,high school
104,intelligence,cleverness,1,1,female,high school
104,intelligence,aptitude,2,1,female,high school
104,intelligence,problem-solving,3,1,female,high school
104,intelligence,acumen,4,1,female,high school
104,intelligence,comprehension,5,1,female,high school
105,intelligence,savvy,1,1,female,high school
105,intelligence,ingenious,2,1,female,high school
105,intelligence,sharp,3,1,female,high school
105,intelligence,bright,4,1,female,high school
105,intelligence,quick-witted,5,1,female,high school
106,intelligence,book-smart,1,1,female,high school
106,intelligence,street-smart,2,1,female,high school
106,intelligence,intuitive,3,1,female,high school
106,intelligence,logical,4,1,female,high school
106,intelligence,reasoning,5,1,female,high school
107,intelligence,expertise,1,1,female,high school
107,intelligence,mastery,2,1,female,high school
107,intelligence,scholar,3,1,female,high school
107,intelligence,proficient,4,1,female,high school
107,intelligence,innovative,5,1,female,high school
108,intelligence,academic,1,1,female,high school
108,intelligence,theory,2,1,female,high school
108,intelligence,intellectual,3,1,female,high school
108,intelligence,reflective,4,1,female,high school
108,intelligence,astute,5,1,female,high school
109,intelligence,cognition,1,1,female,high school
109,intelligence,consciousness,2,1,female,high school
109,intelligence,mentality,3,1,female,high school
109,intelligence,sense,4,1,female,high school
109,intelligence,interpretation,5,1,female,high school
110,intelligence,neuroscience,1,1,female,high school
110,intelligence,mind,2,1,female,high school
110,intelligence,psychometrics,3,1,female,high school
110,intelligence,capacity,4,1,female,high school
110,intelligence,intellect,5,1,female,high school
111,intelligence,brain,1,1,female,high school
111,intelligence,learning,2,1,female,high school
111,intelligence,wisdom,3,1,female,high school
111,intelligence,creativity,4,1,female,high school
111,intelligence,knowledge,5,1,female,high school
112,intelligence,iq,1,1,female,high school
112,intelligence,genius,2,1,female,high school
112,intelligence,insight,3,1,female,high school
112,intelligence,thought,4,1,female,high school
112,intelligence,analytical,5,1,female,high school
113,intelligence,education,1,1,female,high school
113,intelligence,smart,2,1,female,high school
113,intelligence,clever,3,1,female,high school
113,intelligence,problem-solving,4,1,female,high school
113,intelligence,innovation,5,1,female,high school
114,intelligence,understanding,1,1,female,high school
114,intelligence,perception,2,1,female,high school
114,intelligence,cognitive,3,1,female,high school
114,intelligence,rational,4,1,female,high school
114,intelligence,intellectual,5,1,female,high school
115,intelligence,mind,1,1,female,high school
115,intelligence,savvy,2,1,female,high school
115,intelligence,bright,3,1,female,high school
115,intelligence,intuitive,4,1,female,high school
115,intelligence,reflective,5,1,female,high school
116,intelligence,genius,1,1,female,high school
116,intelligence,erudition,2,1,female,high school
116,intelligence,comprehension,3,1,female,high school
116,intelligence,brilliant,4,1,female,high school
116,intelligence,logic,5,1,female,high school
117,intelligence,memory,1,1,female,high school
117,intelligence,quick-witted,2,1,female,high school
117,intelligence,scholarly,3,1,female,high school
117,intelligence,inquisitive,4,1,female,high school
117,intelligence,proficient,5,1,female,high school
118,intelligence,intelligence testing,1,1,female,high school
118,intelligence,exceptional,2,1,female,high school
118,intelligence,acumen,3,1,female,high school
118,intelligence,aptitude,4,1,female,high school
118,intelligence,mastery,5,1,female,high school
119,intelligence,intelligence quotient,1,1,female,high school
119,intelligence,capacity,2,1,female,high school
119,intelligence,gifted,3,1,female,high school
119,intelligence,keen,4,1,female,high school
119,intelligence,astuteness,5,1,female,high school
120,intelligence,expertise,1,1,female,high school
120,intelligence,logic,2,1,female,high school
120,intelligence,intellect,3,1,female,high school
120,intelligence,thinker,4,1,female,high school
120,intelligence,sagacity,5,1,female,high school
121,intelligence,brain,1,1,female,high school
121,intelligence,knowledge,2,1,female,high school
121,intelligence,wisdom,3,1,female,high school
121,intelligence,learning,4,1,female,high school
121,intelligence,understanding,5,1,female,high school
122,intelligence,innovation,1,1,female,high school
122,intelligence,creativity,2,1,female,high school
122,intelligence,insight,3,1,female,high school
122,intelligence,genius,4,1,female,high school
122,intelligence,analytical,5,1,female,high school
123,intelligence,iq,1,1,female,high school
123,intelligence,cognition,2,1,female,high school
123,intelligence,thought,3,1,female,high school
123,intelligence,intelligence quotient,4,1,female,high school
123,intelligence,smart,5,1,female,high school
124,intelligence,education,1,1,female,high school
124,intelligence,curiosity,2,1,female,high school
124,intelligence,problem-solving,3,1,female,high school
124,intelligence,intellectual,4,1,female,high school
124,intelligence,skills,5,1,female,high school
125,intelligence,logic,1,1,female,high school
125,intelligence,comprehension,2,1,female,high school
125,intelligence,reasoning,3,1,female,high school
125,intelligence,aptitude,4,1,female,high school
125,intelligence,mental,5,1,female,high school
126,intelligence,genius,1,1,female,high school
126,intelligence,expert,2,1,female,high school
126,intelligence,proficient,3,1,female,high school
126,intelligence,savvy,4,1,female,high school
126,intelligence,clever,5,1,female,high school
127,intelligence,books,1,1,female,high school
127,intelligence,science,2,1,female,high school
127,intelligence,math,3,1,female,high school
127,intelligence,philosophy,4,1,female,high school
127,intelligence,technology,5,1,female,high school
128,intelligence,intuition,1,1,female,high school
128,intelligence,perspective,2,1,female,high school
128,intelligence,profound,3,1,female,high school
128,intelligence,sharp,4,1,female,high school
128,intelligence,quick-witted,5,1,female,high school
129,intelligence,chess,1,1,female,high school
129,intelligence,puzzles,2,1,female,high school
129,intelligence,strategy,3,1,female,high school
129,intelligence,games,4,1,female,high school
129,intelligence,complex,5,1,female,high school
130,intelligence,memory,1,1,female,high school
130,intelligence,neural,2,1,female,high school
130,intelligence,synapse,3,1,female,high school
130,intelligence,plasticity,4,1,female,high school
130,intelligence,capacity,5,1,female,high school
131,intelligence,brain,1,1,female,high school
131,intelligence,learning,2,1,female,high school
131,intelligence,iq,3,1,female,high school
131,intelligence,wisdom,4,1,female,high school
131,intelligence,insight,5,1,female,high school
132,intelligence,knowledge,1,1,female,high school
132,intelligence,education,2,1,female,high school
132,intelligence,smart,3,1,female,high school
132,intelligence,clever,4,1,female,high school
132,intelligence,understanding,5,1,female,high school
133,intelligence,genius,1,1,female,high school
133,intelligence,innovation,2,1,female,high school
133,intelligence,creativity,3,1,female,high school
133,intelligence,perception,4,1,female,high school
133,intelligence,analytical,5,1,female,high school
134,intelligence,savvy,1,1,female,high school
134,intelligence,intelligence quotient,2,1,female,high school
134,intelligence,thinker,3,1,female,high school
134,intelligence,reason,4,1,female,high school
134,intelligence,problem-solving,5,1,female,high school
135,intelligence,memory,1,1,female,high school
135,intelligence,cognition,2,1,female,high school
135,intelligence,comprehension,3,1,female,high school
135,intelligence,aptitude,4,1,female,high school
135,intelligence,logic,5,1,female,high school
136,intelligence,acumen,1,1,female,high school
136,intelligence,sophistication,2,1,female,high school
136,intelligence,intellect,3,1,female,high school
136,intelligence,bright,4,1,female,high school
136,intelligence,quick-witted,5,1,female,high school
137,intelligence,expertise,1,1,female,high school
137,intelligence,strategy,2,1,female,high school
137,intelligence,reflection,3,1,female,high school
137,intelligence,intuition,4,1,female,high school
137,intelligence,enlightenment,5,1,female,high school
138,intelligence,books,1,1,female,high school
138,intelligence,research,2,1,female,high school
138,intelligence,science,3,1,female,high school
138,intelligence,philosophy,4,1,female,high school
138,intelligence,discovery,5,1,female,high school
139,intelligence,puzzle,1,1,female,high school
139,intelligence,proficient,2,1,female,high school
139,intelligence,mastery,3,1,female,high school
139,intelligence,skill,4,1,female,high school
