id,cue,response,trial,gender,age,age_group
72,risiko,unsicherheit,1,female,40,3
73,risiko,gefahr,1,female,58,5
74,risiko,auto,1,female,32,2
75,risiko,geld,1,male,38,3
76,risiko,bereitschaft,1,female,35,2
77,risiko,bereitschaft,1,male,27,1
78,risiko,poker,1,male,35,2
79,risiko,angst,1,male,25,1
80,risiko,bankgeschäfte,1,female,71,6
81,risiko,gefahr,1,male,58,5
82,risiko,bild,1,male,40,3
83,risiko,gefahr,1,male,52,4
84,risiko,unfall,1,female,43,3
85,risiko,glücksspiel,1,male,22,1
86,risiko,gefahr,1,male,26,1
87,risiko,geld,1,male,50,4
88,risiko,gefahr,1,female,35,2
89,risiko,rockstar,1,male,26,1
90,risiko,entscheidungsfreudig,1,male,74,6
91,risiko,verkehr,1,male,49,4
92,risiko,krankenhaus,1,female,67,5
93,risiko,extremsport,1,female,67,5
94,risiko,leben,1,female,50,4
95,risiko,gefahr,1,male,41,3
96,risiko,virus,1,male,54,4
97,risiko,neugier,1,female,54,4
98,risiko,gefahr,1,female,26,1
99,risiko,management,1,male,37,2
100,risiko,lebensversicherung,1,female,39,3
101,risiko,armut,1,male,58,5
102,risiko,gewagt,1,female,47,3
103,risiko,schule,1,male,44,3
104,risiko,gefahr,1,female,60,5
105,risiko,aktien,1,female,38,3
106,risiko,segeln,1,male,68,6
107,risiko,gefahr,1,male,64,5
108,risiko,brettspiel,1,male,26,1
109,risiko,mut,1,female,62,5
110,risiko,gefahr,1,female,38,3
111,risiko,risikoanalyse,1,female,58,5
112,risiko,geld,1,male,29,2
113,risiko,unsicherheit,1,female,61,5
114,risiko,gefahr,1,female,60,5
115,risiko,unbehagen,1,male,38,3
116,risiko,spaß,1,male,44,3
117,risiko,gewinn,1,female,32,2
118,risiko,krankheit,1,male,49,4
119,risiko,gefahr,1,female,22,1
120,risiko,hoch,1,female,44,3
121,risiko,das spiel,1,female,26,1
122,risiko,groß,1,female,76,6
123,risiko,putin,1,female,45,3
124,risiko,wagnis,1,male,41,3
125,risiko,angst,1,male,58,5
126,risiko,gefahr,1,male,68,6
127,risiko,gefahr,1,female,68,6
128,risiko,gefahr,1,male,38,3
129,risiko,spannung,1,male,45,3
130,risiko,bungee-jumping,1,female,37,2
131,risiko,trump,1,female,54,4
132,risiko,gefahr,1,male,59,5
133,risiko,geld,1,male,26,1
134,risiko,gesundheit,1,female,59,5
135,risiko,krebs,1,female,28,2
136,risiko,angst,1,female,36,2
137,risiko,gefahr,1,female,51,4
138,risiko,geld,1,female,26,1
139,risiko,gruppe,1,male,47,3
140,risiko,gefahr,1,male,37,2
141,risiko,gefahr,1,male,37,2
142,risiko,unumgänglich,1,male,76,6
143,risiko,gefahr,1,male,29,2
144,risiko,wagnis,1,male,49,4
145,risiko,auto,1,female,48,4
146,risiko,"zwo, eins, risiko ",1,female,24,1
147,risiko,gefahr,1,male,44,3
148,risiko,angst,1,female,45,3
149,risiko,leben,1,male,48,4
150,risiko,gefahr,1,female,57,4
151,risiko,geldanlage,1,male,54,4
152,risiko,gesundheit,1,male,59,5
153,risiko,versicherung,1,female,29,2
154,risiko,angst,1,male,67,5
155,risiko,goblin,1,female,39,3
156,risiko,abwägung,1,male,50,4
157,risiko,angst,1,female,37,2
158,risiko,gesundheit,1,male,63,5
159,risiko,geld,1,male,68,6
160,risiko,arbeit,1,male,38,3
161,risiko,groß,1,male,46,3
162,risiko,frieden,1,male,43,3
163,risiko,gefahr,1,female,56,4
164,risiko,gefahr,1,male,49,4
165,risiko,gefahr,1,male,48,4
166,risiko,finanzen,1,male,61,5
167,risiko,gefahr,1,female,61,5
168,risiko,bereit,1,female,66,5
169,risiko,abenteuer,1,male,27,1
170,risiko,gefährlich,1,male,39,3
171,risiko,krebs,1,female,34,2
172,risiko,gefahr,1,male,26,1
173,risiko,kapital,1,male,62,5
174,risiko,nachdenken,1,male,72,6
175,risiko,gefahr,1,female,32,2
176,risiko,motorrad,1,male,46,3
177,risiko,wagnis,1,female,43,3
178,risiko,kristall,1,female,54,4
179,risiko,auto,1,male,54,4
180,risiko,kinder bekommen,1,female,33,2
181,risiko,gefahr,1,male,29,2
182,risiko,gefahr,1,male,51,4
183,risiko,gefahr,1,female,47,3
184,risiko,unfall,1,female,56,4
185,risiko,gefahr,1,male,69,6
186,risiko,fun,1,female,53,4
187,risiko,arbeitslosigkeit,1,male,27,1
188,risiko,mut,1,male,61,5
189,risiko,feuer,1,female,26,1
190,risiko,gefahr,1,female,60,5
191,risiko,fallschirmfliegen,1,male,50,4
192,risiko,gefahr,1,female,39,3
193,risiko,aktien,1,female,20,1
194,risiko,wagnis,1,male,28,2
195,risiko,herzinfarkt,1,male,41,3
196,risiko,adrenalin,1,female,28,2
197,risiko,falle,1,female,38,3
198,risiko,wette,1,male,37,2
199,risiko,gefahr,1,male,33,2
200,risiko,tod,1,male,18,1
201,risiko,gefahr,1,female,38,3
202,risiko,gefahr,1,female,32,2
203,risiko,gefahr,1,male,46,3
204,risiko,börse,1,male,42,3
205,risiko,gefahr,1,female,27,1
206,risiko,angst,1,female,50,4
207,risiko,gefahr,1,male,33,2
208,risiko,geld,1,male,33,2
209,risiko,geldanlage,1,female,72,6
210,risiko,gefahr,1,female,37,2
211,risiko,brettspiel,1,female,39,3
212,risiko,geld,1,male,48,4
213,risiko,angst,1,male,60,5
214,risiko,gefahr,1,female,56,4
215,risiko,geflügelpest,1,male,50,4
216,risiko,gefährlich,1,female,27,1
217,risiko,berg,1,male,63,5
218,risiko,gefahr,1,male,69,6
219,risiko,spekulation,1,female,66,5
220,risiko,unfall,1,male,50,4
221,risiko,spaß,1,male,45,3
222,risiko,vom bauch,1,female,77,6
223,risiko,unfall,1,male,74,6
224,risiko,bungee-jumping,1,female,36,2
225,risiko,gameshow,1,female,50,4
226,risiko,ski,1,male,30,2
227,risiko,gefahr,1,female,55,4
228,risiko,gefahr,1,female,72,6
229,risiko,gefahr,1,male,60,5
230,risiko,spaß,1,male,32,2
231,risiko,geld,1,male,51,4
232,risiko,arbeitsplatz,1,male,56,4
233,risiko,gefahr,1,female,67,5
234,risiko,versicherung,1,female,45,3
235,risiko,sport,1,female,51,4
236,risiko,börse,1,female,60,5
237,risiko,gefahr,1,male,59,5
238,risiko,auto,1,male,65,5
239,risiko,brettspiel,1,male,30,2
240,risiko,motorrad,1,male,26,1
241,risiko,gesundheit,1,male,38,3
242,risiko,gefahr,1,female,42,3
243,risiko,gefahr,1,male,61,5
244,risiko,unfall,1,male,66,5
245,risiko,gewagt,1,male,42,3
246,risiko,angst,1,male,28,2
247,risiko,abenteuer,1,male,47,3
248,risiko,unfall,1,male,40,3
249,risiko,gefahr,1,male,68,6
250,risiko,sport,1,male,53,4
251,risiko,gefahr,1,female,42,3
252,risiko,mut,1,male,69,6
253,risiko,gefahr,1,male,23,1
254,risiko,herzinfarkt,1,male,30,2
255,risiko,leichtsinn,1,male,33,2
256,risiko,avers,1,male,23,1
257,risiko,krankheit,1,female,66,5
258,risiko,gefahren,1,male,34,2
259,risiko,gefährlich,1,female,56,4
260,risiko,gefahr,1,female,42,3
261,risiko,angst,1,male,46,3
262,risiko,unfall,1,female,43,3
263,risiko,unsicher,1,female,34,2
264,risiko,brettspiel,1,male,29,2
265,risiko,gefahr,1,male,75,6
266,risiko,wasser,1,female,61,5
267,risiko,schneeflocken,1,female,62,5
268,risiko,eingehen,1,female,62,5
269,risiko,wetter,1,male,48,4
270,risiko,krise,1,female,58,5
271,risiko,herbst,1,female,43,3
272,risiko,geld,1,female,60,5
273,risiko,wagnis,1,male,69,6
274,risiko,gefahr,1,male,70,6
275,risiko,angst,1,female,52,4
276,risiko,gefahr,1,female,23,1
277,risiko,mehrertrag,1,male,63,5
278,risiko,dieses,1,female,66,5
279,risiko,gefahr,1,female,70,6
280,risiko,gefährlich,1,male,79,6
281,risiko,leben,1,female,42,3
282,risiko,gefahr,1,female,27,1
283,risiko,gefahr,1,female,36,2
284,risiko,mut,1,male,31,2
285,risiko,geld,1,male,43,3
286,risiko,bereit,1,female,64,5
287,risiko,vorsicht,1,female,59,5
288,risiko,gefahr,1,female,69,6
289,risiko,gefahr,1,female,29,2
290,risiko,unfall,1,female,39,3
291,risiko,verkehr,1,male,50,4
292,risiko,sicherheit,1,male,47,3
293,risiko,straßenverkehr,1,male,74,6
294,risiko,gefahr,1,male,38,3
295,risiko,spiel,1,male,34,2
296,risiko,angst,1,female,56,4
297,risiko,gefahr,1,male,52,4
298,risiko,unfall,1,female,42,3
299,risiko,gefahr,1,male,54,4
300,risiko,unfall,1,male,51,4
301,risiko,gefahr,1,female,62,5
302,risiko,geld,1,male,26,1
303,risiko,gesundheit,1,female,66,5
304,risiko,abwägung,1,female,77,6
305,risiko,lotto,1,male,35,2
306,risiko,gefahr,1,male,59,5
307,risiko,fallschirmsprung,1,male,27,1
308,risiko,analyse,1,female,46,3
309,risiko,rente,1,female,44,3
310,risiko,wagemut,1,female,53,4
311,risiko,kreis,1,male,62,5
312,risiko,gefährlich,1,male,61,5
313,risiko,gefahr,1,female,62,5
314,risiko,gefahr,1,male,26,1
315,risiko,spiel,1,male,47,3
316,risiko,kugel,1,male,72,6
317,risiko,mut,1,female,76,6
318,risiko,gefahr,1,male,56,4
319,risiko,verlust,1,female,36,2
320,risiko,schlecht,1,female,63,5
321,risiko,gefahr,1,female,27,1
322,risiko,gefahr,1,male,56,4
323,risiko,gesundheit,1,male,20,1
324,risiko,angst,1,male,62,5
325,risiko,angst,1,male,37,2
326,risiko,verlust,1,female,42,3
327,risiko,gewagt,1,male,61,5
328,risiko,bewertung,1,female,67,5
329,risiko,gefahr,1,female,60,5
330,risiko,gefahr,1,female,27,1
331,risiko,gefahr,1,male,61,5
332,risiko,arbeitslos,1,male,51,4
333,risiko,gefahr,1,male,65,5
334,risiko,spaß,1,male,35,2
335,risiko,gefahr,1,male,42,3
336,risiko,baumkronen,1,male,76,6
337,risiko,gefahr,1,female,71,6
338,risiko,krankheit,1,female,71,6
339,risiko,extremsport,1,female,70,6
340,risiko,finanzen,1,male,36,2
341,risiko,chance,1,male,43,3
342,risiko,zufall,1,male,80,6
343,risiko,mut,1,male,30,2
344,risiko,gewagt,1,female,71,6
345,risiko,gefahr,1,male,74,6
346,risiko,bereitschaft,1,male,42,3
347,risiko,motorrad,1,female,21,1
348,risiko,leben,1,female,64,5
349,risiko,spaß,1,female,48,4
350,risiko,angst,1,male,68,6
351,risiko,versicherung,1,female,45,3
352,risiko,abenteuer,1,female,35,2
353,risiko,chance,1,male,36,2
354,risiko,unfall,1,male,30,2
355,risiko,geld,1,male,33,2
356,risiko,gefahr,1,male,69,6
357,risiko,heller wahnsinn,1,male,21,1
358,risiko,unsicherheit,1,female,25,1
359,risiko,gefahr,1,male,34,2
360,risiko,fußball,1,male,70,6
361,risiko,ehe,1,male,65,5
362,risiko,unfall,1,male,64,5
363,risiko,verkehr,1,male,65,5
364,risiko,gefahr,1,male,69,6
365,risiko,rauchen,1,male,56,4
366,risiko,finanzen,1,male,27,1
367,risiko,verlust,1,male,62,5
368,risiko,kapitalanlage,1,male,73,6
369,risiko,geldanlage,1,male,65,5
370,risiko,sport,1,male,51,4
371,risiko,geld,1,male,54,4
372,risiko,interessant,1,male,72,6
373,risiko,spaß,1,male,32,2
374,risiko,gefahr,1,female,27,1
375,risiko,berechnung,1,female,49,4
376,risiko,gefahr,1,male,67,5
377,risiko,gefährlich,1,female,43,3
378,risiko,gefahr,1,male,80,6
379,risiko,riskant,1,male,52,4
380,risiko,sicherheit,1,male,36,2
381,risiko,fun,1,female,42,3
382,risiko,abenteuer,1,female,42,3
383,risiko,gefahr,1,female,48,4
384,risiko,gefährlich,1,female,45,3
385,risiko,autofahren,1,female,26,1
386,risiko,straßenverkehr,1,male,63,5
387,risiko,fliegen,1,female,69,6
388,risiko,gefahr,1,female,70,6
389,risiko,gefahr,1,male,47,3
390,risiko,unsicherheit,1,male,54,4
391,risiko,gefahr,1,male,68,6
392,risiko,gefahr,1,male,42,3
393,risiko,schutz,1,female,25,1
394,risiko,aktien,1,female,55,4
395,risiko,motorradfahren,1,male,53,4
396,risiko,mut,1,female,23,1
397,risiko,geld,1,female,37,2
398,risiko,verlust,1,female,27,1
399,risiko,geld,1,female,31,2
400,risiko,minimierung,1,male,66,5
401,risiko,wer wird millionär,1,female,24,1
402,risiko,unfall,1,female,63,5
403,risiko,unfall,1,female,36,2
404,risiko,geld,1,male,56,4
405,risiko,geld,1,male,61,5
406,risiko,autofahren,1,female,71,6
407,risiko,autofahren,1,female,70,6
408,risiko,angst,1,male,25,1
409,risiko,brettspiel,1,female,21,1
410,risiko,gefahr,1,female,43,3
411,risiko,gefahr,1,female,48,4
412,risiko,börse,1,male,48,4
413,risiko,gefahr,1,female,55,4
414,risiko,von,1,female,33,2
415,risiko,geld,1,male,31,2
416,risiko,geld,1,male,32,2
417,risiko,gefahr,1,male,62,5
418,risiko,angst,1,male,62,5
419,risiko,gefahr,1,male,52,4
420,risiko,angst,1,male,25,1
421,risiko,krankheit,1,male,59,5
422,risiko,gefahr,1,female,22,1
423,risiko,mut,1,female,57,4
424,risiko,spontan,1,male,36,2
425,risiko,hilfreich,1,male,67,5
426,risiko,aktien,1,female,51,4
427,risiko,geldanlage,1,male,32,2
428,risiko,aktien,1,female,54,4
429,risiko,schatz,1,male,61,5
430,risiko,europa,1,male,60,5
431,risiko,aufregung,1,female,23,1
432,risiko,wetter,1,male,73,6
433,risiko,wagnis,1,female,62,5
434,risiko,gefahr,1,female,37,2
435,risiko,riskant,1,female,43,3
436,risiko,pessimismus,1,female,63,5
437,risiko,gesundheit,1,male,83,6
438,risiko,klettern,1,male,64,5
439,risiko,angst,1,male,78,6
440,risiko,leben,1,male,27,1
441,risiko,mutig,1,male,26,1
442,risiko,gefahr,1,male,49,4
443,risiko,gefahr,1,male,49,4
444,risiko,gefahr,1,female,55,4
445,risiko,spiel,1,female,54,4
446,risiko,krankheit,1,male,52,4
447,risiko,gefahr,1,female,26,1
448,risiko,gefahr,1,male,45,3
449,risiko,geld,1,female,27,1
450,risiko,gefährlich,1,female,37,2
451,risiko,gefahr,1,female,60,5
452,risiko,gefahr,1,female,26,1
453,risiko,glatteis,1,male,45,3
454,risiko,gefahr,1,male,39,3
455,risiko,brettspiel,1,female,32,2
456,risiko,leben,1,male,70,6
457,risiko,gefahr,1,female,59,5
458,risiko,bereitschaft,1,female,64,5
459,risiko,ungewissheit,1,female,25,1
460,risiko,glück,1,male,75,6
461,risiko,gewinn,1,male,55,4
462,risiko,hilfe,1,male,68,6
463,risiko,gefahr,1,female,34,2
464,risiko,alltag,1,male,31,2
465,risiko,vorsicht,1,male,68,6
466,risiko,angst,1,male,45,3
467,risiko,faktor,1,female,54,4
468,risiko,leben,1,male,62,5
469,risiko,auto,1,female,26,1
470,risiko,verkehr,1,male,36,2
471,risiko,politik,1,male,48,4
472,risiko,chance,1,male,33,2
473,risiko,auto,1,male,44,3
474,risiko,geldanlage,1,male,40,3
475,risiko,geld,1,female,25,1
476,risiko,kapital,1,male,27,1
477,risiko,gefahr,1,female,83,6
478,risiko,gefahr,1,female,36,2
479,risiko,chance,1,male,27,1
480,risiko,existenzbedrohung,1,male,55,4
481,risiko,versicherung,1,male,42,3
482,risiko,geld,1,male,63,5
483,risiko,eventuell gefährlich,1,male,53,4
484,risiko,gefahr,1,female,42,3
485,risiko,operation,1,male,21,1
486,risiko,gefahr,1,female,66,5
487,risiko,stopp,1,female,29,2
488,risiko,opfer,1,female,34,2
489,risiko,gefahr,1,female,40,3
490,risiko,krieg,1,female,61,5
491,risiko,gefahr,1,female,61,5
492,risiko,gefahr,1,female,44,3
493,risiko,gefahr,1,female,53,4
494,risiko,chance,1,male,41,3
495,risiko,bank,1,female,34,2
496,risiko,herausforderung,1,female,30,2
497,risiko,gefahr,1,male,53,4
498,risiko,terror,1,female,77,6
499,risiko,gefahr,1,female,28,2
500,risiko,gefahr,1,female,37,2
501,risiko,gefahr,1,female,50,4
502,risiko,leben,1,male,44,3
503,risiko,gefahr,1,male,54,4
504,risiko,gefahr,1,male,57,4
505,risiko,gefahr,1,female,72,6
506,risiko,ruhe,1,female,68,6
507,risiko,wrestling,1,male,49,4
508,risiko,gefahr,1,male,63,5
509,risiko,unfall,1,female,41,3
510,risiko,auto,1,male,57,4
511,risiko,leben,1,male,31,2
512,risiko,gefahr,1,male,66,5
513,risiko,gefahr,1,male,63,5
514,risiko,spiel,1,female,43,3
515,risiko,gefahr,1,female,71,6
516,risiko,spiel,1,male,31,2
517,risiko,gefahr,1,female,33,2
518,risiko,gefahr,1,male,47,3
519,risiko,gewinn,1,male,46,3
520,risiko,gefährdung,1,male,79,6
521,risiko,gefahr,1,female,34,2
522,risiko,geld,1,male,33,2
523,risiko,urlaub,1,female,48,4
524,risiko,gefahr,1,male,42,3
525,risiko,gefahr,1,female,24,1
526,risiko,auto,1,male,33,2
527,risiko,verkehr,1,male,60,5
528,risiko,chance,1,male,62,5
529,risiko,vorsicht,1,male,74,6
530,risiko,chance,1,female,39,3
531,risiko,bereitschaft,1,female,87,6
532,risiko,angst,1,male,71,6
533,risiko,management,1,female,47,3
534,risiko,achtung,1,male,51,4
535,risiko,gefahr,1,male,76,6
536,risiko,gefahr,1,female,48,4
537,risiko,angst,1,male,73,6
538,risiko,brettspiel,1,female,57,4
539,risiko,wertpapier,1,male,50,4
540,risiko,gewinn,1,male,64,5
541,risiko,geldanlagen,1,female,23,1
542,risiko,stammtisch,1,male,74,6
543,risiko,mut,1,female,63,5
544,risiko,wetter,1,male,69,6
545,risiko,gewinn,1,male,66,5
546,risiko,aktien,1,male,26,1
547,risiko,gefahr,1,male,24,1
548,risiko,leben,1,female,27,1
549,risiko,unfall,1,female,58,5
550,risiko,finanzanlage,1,female,68,6
551,risiko,gefahr,1,female,23,1
552,risiko,fotografie,1,male,73,6
553,risiko,gefahr,1,female,71,6
554,risiko,gefährlich,1,female,51,4
555,risiko,sonne,1,female,68,6
556,risiko,angst,1,male,51,4
557,risiko,gefahr,1,female,54,4
558,risiko,unfall,1,female,24,1
559,risiko,gefahr,1,male,57,4
560,risiko,sturz,1,female,23,1
561,risiko,gefahr,1,female,28,2
562,risiko,sport,1,male,58,5
563,risiko,finanzen,1,male,21,1
564,risiko,gefahr,1,male,18,1
565,risiko,gefahr,1,male,43,3
566,risiko,angst,1,male,54,4
567,risiko,unsicherheit,1,male,67,5
568,risiko,unfall,1,female,65,5
569,risiko,gefahr,1,male,45,3
570,risiko,gefahr,1,male,76,6
571,risiko,mut,1,female,61,5
572,risiko,schwangerschaft,1,female,48,4
573,risiko,eingehen,1,female,20,1
574,risiko,rauchen,1,female,73,6
575,risiko,gefahr,1,male,20,1
576,risiko,gefahr,1,male,68,6
577,risiko,vermeiden,1,male,60,5
578,risiko,chance,1,female,63,5
579,risiko,mut,1,male,71,6
580,risiko,gefahr,1,female,42,3
582,risiko,aktien,1,male,48,4
583,risiko,arbeitslos,1,male,52,4
584,risiko,gefahr,1,female,60,5
585,risiko,angst,1,female,56,4
586,risiko,überholen,1,male,61,5
587,risiko,anlage,1,male,71,6
588,risiko,krankheit,1,female,59,5
589,risiko,glücksspiel,1,male,60,5
590,risiko,fonds,1,female,51,4
591,risiko,chance,1,male,61,5
592,risiko,mut,1,male,74,6
593,risiko,gefahr,1,male,36,2
594,risiko,gefahr,1,female,56,4
595,risiko,achterbahnfahren,1,male,66,5
596,risiko,unfall,1,male,41,3
597,risiko,unfall,1,male,41,3
598,risiko,gefährlich,1,female,38,3
599,risiko,gefahr,1,female,60,5
600,risiko,gefahr,1,male,78,6
601,risiko,gefahr,1,female,43,3
602,risiko,gefahr,1,female,69,6
603,risiko,gefahr,1,male,71,6
604,risiko,vermeidung,1,male,35,2
605,risiko,gefahr,1,female,59,5
606,risiko,wagnis,1,female,40,3
607,risiko,gefahr,1,female,30,2
608,risiko,problem,1,male,70,6
609,risiko,wagnis,1,female,68,6
610,risiko,riskant,1,female,29,2
611,risiko,wagnis,1,female,81,6
612,risiko,schmerz,1,female,59,5
613,risiko,schnelligkeit,1,female,53,4
614,risiko,angst,1,male,55,4
615,risiko,gefahr,1,female,38,3
616,risiko,unachtsam,1,male,64,5
617,risiko,gefahr,1,female,62,5
618,risiko,immer,1,male,75,6
619,risiko,gefahr,1,male,51,4
620,risiko,autofahren,1,male,66,5
621,risiko,populismus,1,male,74,6
622,risiko,geld,1,female,59,5
623,risiko,angst,1,female,54,4
624,risiko,spaß,1,male,66,5
625,risiko,gefahr,1,male,29,2
626,risiko,geldanlage,1,male,25,1
627,risiko,unsicher,1,male,66,5
628,risiko,investment,1,female,60,5
629,risiko,krieg,1,male,68,6
630,risiko,gefahr,1,female,51,4
631,risiko,bedrohung,1,male,27,1
632,risiko,angst,1,female,38,3
633,risiko,gefahr,1,female,41,3
634,risiko,angst,1,female,43,3
635,risiko,verlust,1,male,68,6
636,risiko,gefahr,1,female,37,2
637,risiko,gefahr,1,male,35,2
638,risiko,gefahr,1,female,25,1
639,risiko,auto,1,female,53,4
640,risiko,gefahr,1,male,31,2
641,risiko,spiel,1,male,35,2
642,risiko,gefahr,1,male,59,5
643,risiko,spiel,1,female,24,1
644,risiko,gefahr,1,female,69,6
645,risiko,falle,1,female,58,5
646,risiko,angst,1,female,59,5
647,risiko,chance,1,female,26,1
648,risiko,bereitschaft,1,male,41,3
649,risiko,geld,1,female,45,3
650,risiko,gefahr,1,female,46,3
651,risiko,autofahren,1,female,66,5
652,risiko,ängstlichkeit,1,female,26,1
653,risiko,gefahr,1,female,61,5
654,risiko,autofahren,1,female,68,6
655,risiko,verkehr,1,male,61,5
656,risiko,gefahr,1,female,44,3
657,risiko,ernährung,1,male,76,6
658,risiko,skrupellosigkeit,1,male,61,5
659,risiko,bank,1,female,69,6
660,risiko,unsicherheit,1,female,33,2
661,risiko,krankheit,1,male,36,2
662,risiko,gefahr,1,male,43,3
663,risiko,gefahr,1,male,67,5
664,risiko,spiel,1,male,48,4
665,risiko,analyse,1,male,47,3
666,risiko,gefahr,1,female,47,3
667,risiko,riskantes unternehmen,1,female,69,6
668,risiko,gefahr,1,male,37,2
669,risiko,mut,1,female,39,3
670,risiko,fallschirmspringen,1,male,39,3
671,risiko,gefahr,1,female,27,1
672,risiko,chance,1,male,57,4
673,risiko,geld,1,female,34,2
674,risiko,unfall,1,female,54,4
675,risiko,gefahr,1,female,27,1
676,risiko,unsicherheit,1,female,73,6
677,risiko,unfall,1,male,40,3
678,risiko,alter,1,male,27,1
679,risiko,gefahr,1,female,50,4
680,risiko,gefahr,1,male,28,2
681,risiko,gefahr,1,male,27,1
682,risiko,autofahren,1,male,68,6
683,risiko,gefahr,1,male,61,5
684,risiko,gefährlich,1,male,30,2
685,risiko,terror,1,female,51,4
686,risiko,gefahr,1,female,49,4
687,risiko,rendite,1,male,27,1
688,risiko,riskant,1,female,26,1
689,risiko,gefahr,1,male,36,2
690,risiko,verlust,1,female,60,5
691,risiko,gefahr,1,female,47,3
692,risiko,gefahr,1,female,56,4
693,risiko,gefahr,1,male,26,1
694,risiko,vorsicht,1,male,76,6
695,risiko,unfall,1,female,56,4
696,risiko,gefahr,1,female,68,6
697,risiko,geld,1,male,40,3
698,risiko,zocken,1,male,36,2
699,risiko,gefahr,1,female,38,3
700,risiko,geld,1,female,54,4
701,risiko,angst,1,female,55,4
702,risiko,gefahr,1,male,62,5
703,risiko,unfall,1,male,73,6
704,risiko,finanzen,1,male,22,1
705,risiko,gefahr,1,male,63,5
706,risiko,gefahr,1,female,63,5
707,risiko,sicherheit,1,male,61,5
708,risiko,finanzgeschäfte,1,female,27,1
709,risiko,gefahr,1,male,23,1
710,risiko,ungewissheit,1,female,75,6
711,risiko,angst,1,male,34,2
712,risiko,wagnis,1,female,59,5
713,risiko,flugzeug,1,female,54,4
714,risiko,unsicherheit,1,male,71,6
715,risiko,chance,1,female,68,6
716,risiko,chance,1,male,47,3
717,risiko,schneeflocken,1,male,62,5
718,risiko,einsatz,1,male,39,3
719,risiko,gefahr,1,male,51,4
720,risiko,auto,1,male,26,1
721,risiko,meiden,1,male,68,6
722,risiko,geld,1,female,57,4
723,risiko,angst,1,male,61,5
724,risiko,leben,1,male,45,3
725,risiko,straßenverkehr,1,male,22,1
726,risiko,potential,1,male,41,3
727,risiko,gefahr,1,male,48,4
728,risiko,geld,1,female,30,2
729,risiko,oft unklare rahmenbedingungen,1,male,69,6
730,risiko,krieg,1,male,78,6
731,risiko,gefährlich,1,male,68,6
732,risiko,gefahr,1,male,60,5
733,risiko,geld,1,female,33,2
734,risiko,geld,1,female,56,4
735,risiko,berufswechsel,1,male,22,1
736,risiko,vorsicht,1,male,37,2
737,risiko,spiel,1,male,25,1
738,risiko,gefahr,1,male,31,2
739,risiko,wagnis,1,male,33,2
740,risiko,gesundheit,1,male,78,6
741,risiko,verlust,1,female,27,1
742,risiko,geldanlage,1,female,78,6
743,risiko,arbeitsplatz,1,male,67,5
744,risiko,politik,1,male,54,4
