response,response_correct,response_frequency,spelling_check,acronym_check,acronym_candidate
Adviser,,1,,,
Advisor,,6,,,
advisors,,1,,,
Advocacy,,2,,,
Advocate,,1,,,
Aesthetic,,1,,,
Aesthetics,,1,,,
Affinity,,1,,,
age,,10,,,
Age of Reason,,1,,,
Agent,,1,,,
AGI,,2,likely misspelled,likely an acronym,Auxiliary Group Intelligence
agile,,11,,,
Agile Methodology,,1,,,
Agility,,41,,,
Aging,,5,,,
agreement,,1,,,
Ah-ha,,2,,,
Ah-ha moment,,2,,,
Ah-hah moment,,1,likely misspelled,,
Aha,,4,,,
Aha moment,,4,,,
AI,,17,,likely an acronym,Air Interdiction
AI Ethics,,4,,,
aim,,1,,potentially an acronym,"many, including AOL Instant Messenger, Australian Institute of Management; see entry"
airplane,,1,,,
alacrity,,1,,,
Albert,,1,,,
Albert Einstein,,1,,,
Alchemy,,1,,,
Alekhine,,1,likely misspelled,,
alert,,18,,potentially an acronym,Advanced Linked Extended Reconnaissance and Targeting
Alertness,,15,,,
Alexa,,2,likely misspelled,,
Alfred Binet,,2,likely misspelled,,
Algebra,,2,,,
Algorithm,,36,,,
Algorithmic,,4,,,
Algorithmic Thinking,,2,,,
Algorithms,,38,,,
Alignment,,2,,,
Alive,,3,,,
All-rounder,,1,,,
Allocation,,2,,,
allure,,1,,,
Alphabet,,1,,,
AlphaGo,,2,likely misspelled,,
ALS,,1,likely misspelled,likely an acronym,Amyotrophic Lateral Sclerosis
Alteration,,1,,,
Alzheimer's,,11,,,
Alzheimer’s,,1,,,
ambiguity,,1,,,
ambiguous,,1,,,
Ambition,,12,,,
ambitious,,1,,,
Amendability,,1,likely misspelled,,
Amnesia,,6,,,
Amplifier,,1,,,
amplitude,,1,,,
amusing,,1,,,
Amygdala,,4,,,
Analyanalysis,,1,likely misspelled,,
Analysis,,292,,,
analyst,,4,,,
Analysts,,1,,,
analytic,,5,,,
Analytical,,103,,,
Analytical chemistry,,1,,,
Analytics,,23,likely misspelled,,
Analyze,,7,,,
analyzing,,1,,,
Anand,,1,likely misspelled,,
Anatomy,,7,,,
Ancestors,,4,,,
Ancestry,,2,,,
ancient,,14,,,
ancients,,1,,,
Anecdotes,,2,,,
Anger,,1,,,
angle,,1,,,
Angles,,1,,,
Animals,,1,,,
Anniversary,,1,,,
Annus Mirabilis,,1,likely misspelled,,
Anomalies,,1,,,
Anomaly,,1,,,
anomaly detection,,3,,,
answer,,6,,,
Answers,,6,,,
Anthropic,,1,likely misspelled,,
Anticipate,,1,,,
Anticipation,,6,,,
Antithesis,,1,,,
Anxiety,,6,,,
Appearance,,1,,,
Apple,,5,,,
applicability,,1,,,
Application,,8,,,
Applied Linguistics,,2,,,
Appraisal,,3,,,
Appreciation,,4,,,
Apprehend,,1,,,
Apprehension,,17,,,
Apprenticeship,,1,,,
apprised,,1,,,
Approach,,13,,,
Apps,,2,,,
Apt,,1,,,
Aptitude,,127,,,
Aptitude Test,,1,,,
aptness,,8,,,
Archaeology,,2,,,
Archimedes,,1,,,
Architecture,,1,,,
Archival,,1,,,
Archives,,2,,,
Arctic,,1,,,
Area,,1,,,
Argument,,21,,,
Argumentation,,4,,,
Aristotle,,12,,,
Arithmetic,,3,,,
Arrangement,,1,,,
art,,17,,potentially an acronym,Adaptive Resonance Theory
Artful,,3,,,
Article,,3,,,
Articles,,2,,,
articulate,,14,,,
articulateness,,1,,,
articulation,,2,,,
Artifact,,1,,,
Artifacts,,1,,,
Artificial,,12,,,
Artificial flavors,,1,,,
Artificial Intelligence,,52,,,
Artificial Neural Networks,,1,,,
artisan,,4,,,
artist,,1,,,
Artistic,,3,,,
Artistry,,29,,,
Arts,,2,,,
ascendancy,,1,,,
Asimov,,1,,,
ASIS,,3,likely misspelled,likely an acronym,
ask,,1,,,
Asking,,1,,,
aspect,,1,,,
Asperger's,,2,,,
Aspirations,,1,,,
Assembly,,4,,,
assembly line,,1,,,
Assessing,,1,,,
Assessment,,57,,,
assessments,,1,,,
Asset,,1,,,
Asset recruitment,,1,,,
Assets,,1,,,
Assignments,,3,,,
Assimilate,,1,,,
Assimilation,,13,,,
assistance,,1,,,
association,,5,,,
Assumption,,10,,,
Assumptions,,1,,,
Astronomy,,3,,,
astrophysics,,4,,,
Astute,,42,,,
Astuteness,,20,,,
Athleticism,,5,,,
Athletics,,3,,,
Atom,,1,,,
Atoms,,3,,,
Attention,,38,,,
Attention Span,,1,,,
attentive,,7,,,
attentiveness,,2,,,
attribute,,1,,,
auditory,,1,,,
Auditory Cortex,,1,,,
Australia,,1,,,
Author,,2,,,
authority,,46,,,
Authors,,2,,,
Autism,,3,,,
Autobiographical,,4,,,
Autobiography,,1,,,
autodidact,,1,,,
autoencoders,,1,likely misspelled,,
Automated,,1,,,
Automatic,,5,,,
Automation,,21,,,
Automobiles,,1,,,
automotive,,1,,,
autonomic,,2,,,
Autonomic Nervous System,,1,,,
Autonomous,,3,,,
Autonomy,,4,,,
avant-garde,,1,likely misspelled,,
average,,1,,,
avid,,1,,,
awake,,1,,,
Awakening,,10,,,
Award,,1,,,
Awards,,1,,,
Aware,,6,,,
Awareness,,159,,,
Axiom,,4,,,
axioms,,1,,,
Axon,,11,,,
Axons,,1,,,
Bachelor,,1,,,
Bachelors,,1,,,
backbone,,1,,,
Backpropagation,,1,likely misspelled,,
Backup,,2,,,
Bacon,,1,,,
Balance,,27,,,
Balanced,,2,,,
Bandwidth,,4,,,
Bandwidth-cap,,1,,,
banking,,1,,,
Banter,,1,,,
Bargaining,,1,,,
Basketball,,1,,,
Battery,,1,,,
Bayes theorem,,1,,,
Beaker,,1,,,
beam,,2,,,
Behavior,,15,,,
Behavioral,,2,,,
Being,,5,,,
Belief,,24,,,
belief system,,1,,,
Beliefs,,6,,,
Bell Curve,,12,,,
bell-curve,,1,,,
benchmark,,5,,,
Benchmarking,,1,likely misspelled,,
Benefactor,,2,,,
beneficial,,1,,,
Benevolence,,1,,,
Benevolent,,1,,,
bent,,5,,,
Bestseller,,1,,,
Bestsellers,,1,,,
Bias,,23,,,
Biases,,2,,,
Bibliography,,1,,,
Bibliophile,,2,,,
Big Bang,,1,,,
Big Data,,18,,,
Bilingualism,,1,,,
Binary,,13,,,
Binding,,1,,,
Binet,,7,likely misspelled,,
Binomials,,1,,,
Biochemistry,,3,,,
Biography,,3,,,
bioinformatics,,1,likely misspelled,,
Biological,,3,,,
Biological Psychology,,1,,,
biologist,,1,,,
Biology,,13,,,
biometrics,,1,likely misspelled,,
Bionics,,1,,,
biopsychology,,1,likely misspelled,,
Biostatistics,,1,likely misspelled,,
Biotech,,9,,,
Biotechnology,,2,,,
bipolar,,1,,,
Bishop,,2,,,
Bits,,1,,,
Black Hole,,1,,,
black holes,,1,,,
Black ops,,1,,,
Black-ops,,1,,,
Blackboard,,3,,,
blade,,3,,,
Blame,,1,,,
Blazing,,1,,,
blinding,,1,,,
blitz,,1,,,
Blockchain,,4,likely misspelled,,
Blueprint,,7,,,
BND,,1,likely misspelled,likely an acronym,Brunei dollar
Board,,4,,,
Board games,,1,,,
Bold,,3,,,
Boldness,,3,,,
Bonds,,1,,,
book,,5,,,
book club,,1,,,
Book smart,,1,,,
Book-smart,,23,,,
bookish,,1,,,
Bookmark,,3,,,
bookmarks,,1,,,
Books,,101,,,
Bookshelf,,1,,,
Bookstore,,3,,,
Bots,,1,,,
bottom,,1,,,
bounce,,1,,,
box,,1,,,
Brain,,179,,,
Brain chemistry,,1,,,
Brain development,,1,,,
Brain Functions,,1,,,
Brain injury,,3,,,
Brain mapping,,5,,,
Brain stem,,1,,,
Brain Tumor,,1,,,
Brain Waves,,2,,,
Brain-computer interface,,1,,,
Brain-teasing,,1,,,
Braininess,,1,,,
Brainpower,,29,,,
Brains,,16,,,
Brainstem,,11,likely misspelled,,
Brainstorm,,3,,,
Brainstorming,,40,,,
Brainwave,,2,,,
Brainwaves,,13,,,
Brainy,,14,,,
Branding,,2,,,
Breach,,1,,,
breadth,,1,,,
Breakdown,,10,,,
Breakthrough,,47,,,
breakthroughs,,1,,,
Brief,,2,,,
Briefcase,,1,,,
briefed,,2,,,
Briefing,,1,,,
Briefings,,1,,,
Bright,,55,,,
bright-eyed,,1,,,
Brightness,,4,,,
brilliance,,48,,,
Brilliant,,21,,,
brisk,,2,,,
briskness,,1,,,
brooding,,1,,,
Browsing,,1,,,
Brush pass,,1,,,
brute force,,1,,,
Buddha,,3,,,
Bugging,,1,,,
burnished,,1,,,
Bursary,,1,,,
Business,,15,,,
Business-savvy,,2,,,
Businesslike,,1,,,
Bytes,,3,,,
Calculated,,4,,,
Calculating,,9,,,
Calculation,,12,,,
Calculations,,2,,,
Calculus,,6,,,
Calendar,,2,,,
Calendar Calculation,,1,,,
Caliber,,2,,,
Calibration,,1,,,
calm,,1,,potentially an acronym,"Communications, Air-interface, Long and Medium range"
Calmness,,1,,,
Cambridge,,1,,,
Camouflage,,2,,,
Campaign,,3,,,
Campus,,6,,,
Campus life,,1,,,
Camus,,1,,,
Canine,,1,,,
Canines,,1,,,
canny,,3,,,
Canvas,,2,,,
cap,,1,,potentially an acronym,Combat Air Patrol
capabilities,,1,,,
capability,,66,,,
Capable,,16,,,
capaciousness,,1,,,
Capacity,,89,,,
Capacity-building,,3,,,
Capacity-charge,,1,,,
Capacity-factor,,1,,,
Capacity-management,,1,,,
Capacity-planning,,1,,,
capture,,3,,,
Capturing,,1,,,
cardiology,,1,,,
care,,2,,potentially an acronym,Citizens Association for Racial Equality
Career,,4,,,
Carefulness,,1,,,
Cargo,,1,,,
Caring,,1,,,
Carlsen,,3,likely misspelled,,
carrying,,1,,,
Castle,,1,,,
Cat,,3,,,
categories,,1,,,
Categorization,,6,,,
Catherine the Great,,1,,,
Cats,,3,,,
Causality,,6,,,
Causation,,2,,,
Cause,,3,,,
caution,,4,,,
Cautious,,1,,,
cavern,,1,,,
Celebrity,,1,,,
Cells,,3,,,
Celsius,,1,,,
Central nervous system,,3,,,
Cerebellum,,9,,,
cerebral,,14,,,
Cerebral Cortex,,2,,,
Cerebration,,2,,,
Cerebrum,,3,,,
certainty,,1,,,
Certificate,,1,,,
Certification,,7,,,
certified,,1,,,
Chalk,,1,,,
Chalkboard,,3,,,
Challenge,,27,,,
Challenges,,1,,,
challenging,,2,,,
Championship,,1,,,
Chance,,1,,,
Change,,20,,,
Chaos,,2,,,
Chapters,,1,,,
Characterization,,1,,,
Characters,,3,,,
charisma,,3,,,
charismatic,,1,,,
Charles,,1,,,
Charles Darwin,,1,,,
Charm,,2,,,
Charts,,5,,,
Chatbots,,7,likely misspelled,,
chatty,,1,,,
Check,,3,,,
checkers,,1,,,
checkmate,,3,,,
Chemical,,5,,,
Chemical Signals,,1,,,
Chemistry,,8,,,
Chess,,33,,,
chessmaster,,1,likely misspelled,,
Chic,,1,,,
Child,,4,,,
Child prodigies,,1,,,
Child prodigy,,5,,,
Childhood,,9,,,
Children,,6,,,
Choice,,3,,,
Chomsky,,1,,,
Choreography,,3,,,
Chronological Age,,1,,,
CIA,,3,,likely an acronym,Cairo International Airport
Circuit,,3,,,
Circuitry,,2,,,
circuits,,1,,,
circumspect,,1,,,
Citation,,5,,,
clairvoyance,,5,,,
Clairvoyant,,1,,,
Clandestine,,4,,,
Clarity,,124,,,
class,,1,,,
Classes,,5,,,
Classic,,5,,,
Classics,,1,,,
Classification,,8,,,
Classified,,4,,,
Classifier,,1,,,
Classroom,,18,,,
cleansing,,1,,,
cleanup,,1,,,
clear,,7,,,
Clear-cut,,1,,,
Clear-headed,,1,,,
Clear-minded,,1,,,
clear-sighted,,1,,,
Clear-thinking,,1,,,
clearance,,1,,,
Clever,,72,,,
Cleverness,,41,,,
Climate,,3,,,
Climate Change,,1,,,
cling,,1,,,
Clinical,,2,,,
Clinical Trials,,2,,,
clock,,1,,,
Cloud,,5,,,
Cloud Computing,,5,,,
Clubs,,2,,,
clued-in,,1,,,
Clues,,4,,,
Clustering,,4,,,
Clusters,,2,,,
clutch,,1,,,
Coaching,,1,,,
Code,,5,,,
Code-breaking,,6,,,
Codebreaking,,1,likely misspelled,,
Codes,,3,,,
Coding,,3,,,
Cogito,,1,likely misspelled,,
Cognition,,271,,,
Cognition theories,,1,,,
Cognition Theory,,4,,,
Cognitive,,121,,,
Cognitive abilities,,5,,,
Cognitive Architecture,,1,,,
Cognitive assessment,,1,,,
cognitive behavioral therapy,,1,,,
Cognitive Computing,,1,,,
Cognitive Development,,4,,,
Cognitive fitness,,1,,,
Cognitive Function,,1,,,
Cognitive linguistics,,1,,,
Cognitive Load,,1,,,
Cognitive Neuroscience,,2,,,
Cognitive psychology,,4,,,
Cognitive science,,19,,,
Cognizance,,1,,,
Coherence,,31,,,
Coherent,,4,,,
Cold War,,2,,,
Collaboration,,49,,,
Collage,,2,,,
Collection,,7,,,
College,,8,,,
Collegiate,,2,,,
Colloquium,,2,,,
Color,,9,,,
colorful,,1,,,
colors,,1,,,
Columbus,,1,,,
command,,12,,,
Commitment,,8,,,
committed,,1,,,
common sense,,3,,,
Communication,,30,,,
Community Service,,1,,,
Comparison,,9,,,
comparisons,,1,,,
Compass,,3,,,
Compassion,,7,,,
Competence,,74,,,
Competency,,4,,,
Competent,,16,,,
Competition,,8,,,
Competitive,,3,,,
Competitive Advantage,,1,,,
Compiling,,1,,,
complex,,7,,,
Complexity,,44,,,
Compliance,,2,,,
composer,,1,,,
Composing,,1,,,
Composition,,12,,,
Comprehend,,6,,,
Comprehending,,2,,,
Comprehension,,214,,,
Comprehensive,,3,,,
Computation,,24,,,
Computation Theory,,1,,,
Computational,,3,,,
Computational linguistics,,2,,,
Computational neuroscience,,2,,,
Computational Power,,2,,,
Compute,,1,,,
Compute Power,,1,,,
computer,,5,,,
Computer literacy,,1,,,
Computer Science,,4,,,
Computer Vision,,1,,,
Computers,,11,,,
Computing,,9,,,
Computing Power,,1,,,
concealment,,1,,,
Conceive,,1,,,
concentrate,,1,,,
concentrated,,2,,,
Concentration,,27,,,
concept,,16,,,
conception,,8,,,
Conceptions,,1,,,
Concepts,,8,,,
Conceptual,,46,,,
Conceptual art,,1,,,
Conceptual framework,,1,,,
conceptualisation,,1,likely misspelled,,
Conceptualization,,35,,,
Conceptualize,,4,,,
Conceptualizing,,1,,,
Conclude,,1,,,
Conclusion,,30,,,
Conclusions,,5,,,
Condemnation,,2,,,
Condition,,4,,,
Conditioning,,1,,,
Condorcet,,1,,,
Conference,,1,,,
Confidence,,1,,,
confidential,,2,,,
confidentiality,,1,,,
Confirmation,,1,,,
Conflict,,1,,,
Conflict resolution,,2,,,
conflict-resolution,,1,,,
Confucius,,1,,,
congruity,,1,,,
Connect,,1,,,
Connection,,24,,,
Connections,,3,,,
connectives,,1,,,
Connectivity,,6,,,
Connectome,,2,likely misspelled,,
conniving,,1,,,
connoisseur,,5,,,
Connotation,,1,,,
Conscious,,12,,,
Conscious Experience,,1,,,
Consciousness,,138,,,
Consequence,,1,,,
Consequential,,3,,,
conservation,,1,,,
Considerate,,5,,,
Consideration,,22,,,
Consistency,,18,,,
Consistent,,1,,,
Consolidation,,5,,,
construct,,5,,,
Constructing,,1,,,
Construction,,2,,,
Constructive,,1,,,
Constructivism,,3,likely misspelled,,
consultant,,7,,,
Consumer,,2,,,
Container,,2,,,
contemplation,,31,,,
Contemplative,,4,,,
Contemporary,,2,,,
Content,,1,,,
Content Creation,,1,,,
Context,,24,,,
Contextual,,1,,,
Continents,,2,,,
Contingency,,1,,,
continuity,,1,,,
Continuous,,1,,,
Contrast,,3,,,
contribution,,1,,,
control,,11,,,
Control group,,2,,,
Control Systems,,1,,,
Control-group,,2,,,
Controlled,,1,,,
controversial,,2,,,
Controversy,,4,,,
Conversion,,1,,,
Convey,,1,,,
Cooperation,,5,,,
Coordinated,,2,,,
Coordination,,9,,,
Coping,,6,,,
corner,,1,,,
Corpus,,1,,,
Correction,,1,,,
Correlation,,6,,,
Cortex,,23,,,
cosmology,,5,,,
Cosmopolitan,,1,,,
Cosmos,,2,,,
Counsel,,10,,,
Counseling,,4,,,
Counselling,,1,likely misspelled,,
Counselor,,1,,,
Counter-surveillance,,1,,,
Counterintelligence,,7,,,
Counterterrorism,,3,likely misspelled,,
Courage,,1,,,
course,,1,,,
Courses,,1,,,
coursework,,1,,,
Courteous,,1,,,
Courtesy,,1,,,
Couture,,2,,,
Covert,,5,,,
covert action,,1,,,
Covert operations,,1,,,
Covert-ops,,1,,,
crack,,1,,,
Craft,,19,,,
Craftiness,,4,,,
Crafting,,4,,,
Crafts,,1,,,
craftsman,,3,,,
Craftsmanship,,24,,,
Crafty,,16,,,
Creation,,3,,,
Creative,,30,,,
Creativity,,219,,,
Credential,,1,,,
Credentials,,4,,,
Credibility,,3,,,
credible,,1,,,
credit card,,1,,,
crisp,,8,,,
Criteria,,6,,,
critic,,1,,,
Critical,,33,,,
Critical thinking,,84,,,
critical-thinking,,10,,,
Criticality,,1,,,
Criticism,,2,,,
Critique,,7,,,
Crossword,,4,,,
Cryptanalysis,,1,likely misspelled,,
Cryptic,,1,,,
Cryptocurrency,,2,likely misspelled,,
Cryptography,,5,,,
Crystalline intelligence,,1,,,
crystallized,,11,,,
Crystallized Intelligence,,3,,,
CSS,,1,,likely an acronym,Cascading Style Sheets
Cuisine,,1,,,
Cultivated,,1,,,
Cultivation,,1,,,
Cultural,,4,,,
Cultural Bias,,1,,,
Cultural capital,,1,,,
Culture,,22,,,
Culture-Fair,,1,,,
Cultured,,2,,,
cunning,,30,,,
curated,,1,,,
Cure,,1,,,
Cures,,1,,,
Curie,,13,,,
Curiosity,,149,,,
curious,,6,,,
Current,,1,,,
Curriculum,,26,,,
Curvature,,1,,,
Customer,,1,,,
Customer service,,2,,,
Customization,,1,,,
cut,,2,,,
Cutting-edge,,2,,,
Cybersecurity,,6,likely misspelled,,
Da Vinci,,13,likely misspelled,,
Dance,,4,,,
danger,,1,,,
Daniel Goleman,,1,likely misspelled,,
Darwin,,4,,,
Dashboard,,2,,,
Data,,97,,,
Data Analysis,,5,,,
Data collection,,3,,,
Data Mining,,1,,,
Data Privacy,,1,,,
Data processing,,2,,,
data science,,1,,,
Data-collection,,2,,,
Data-driven,,1,,,
data-mining,,1,,,
Data-processing,,1,,,
Database,,7,,,
Databases,,1,,,
datasets,,1,,,
Dates,,3,,,
dauntlessness,,1,,,
DaVinci,,1,likely misspelled,,
daylight,,1,,,
dazzling,,6,,,
Dead letter box,,1,,,
Deal-making,,1,,,
debate,,30,,,
Debonair,,1,,,
Debrief,,2,,,
decay,,1,,,
Deceit,,1,,,
Deception,,4,,,
Decimals,,1,,,
Decision,,24,,,
Decision Making,,2,,,
Decision Trees,,1,,,
Decision-making,,53,,,
decisions,,5,,,
Decisiveness,,1,,,
Declarative,,2,,,
Decode,,5,,,
Decoding,,7,,,
decryption,,1,,,
dedicated,,2,,,
dedication,,26,,,
Deduction,,60,,,
deduction in pay,,1,,,
Deductive,,6,,,
deep,,6,,,
Deep Blue,,1,,,
Deep dive,,1,,,
Deep Learning,,8,,,
Deep Sea,,1,,,
deep-sea,,1,,,
deep-seated,,1,,,
deep-thinker,,1,,,
deepness,,1,,,
Defect,,1,,,
Defense,,1,,,
defined,,1,,,
deft,,1,,,
deftness,,3,,,
Degree,,18,,,
Degrees,,6,,,
deja vu,,2,likely misspelled,,
Dejavu,,1,likely misspelled,,
Deliberate,,5,,,
Deliberation,,14,,,
Delusion,,1,,,
Delve,,1,,,
Dementia,,11,,,
Democracy,,1,,,
Dendrite,,4,,,
dendrites,,5,,,
Deontology,,1,likely misspelled,,
Depression,,2,,,
Depth,,58,,,
Descartes,,6,,,
Design,,32,,,
designer,,1,,,
desire,,2,,,
Desk,,1,,,
Desks,,3,,,
Desktop,,1,,,
Detail,,14,,,
Detail-oriented,,4,,,
Detailed,,1,,,
Detection,,3,,,
detective,,3,,,
detective work,,1,,,
Determination,,7,,,
Determinism,,1,,,
Develop,,1,,,
Developer,,1,,,
Development,,78,,,
deviation,,1,,,
Devious,,1,,,
dexterity,,34,,,
Dexterous,,8,,,
DGSE,,1,likely misspelled,likely an acronym,
Diachronic,,1,likely misspelled,,
Diagnose,,1,,,
Diagnosis,,7,,,
Diagnostic,,5,,,
Diagnostics,,7,,,
diagonal,,1,,,
Dialect,,1,,,
Dialectic,,4,,,
dialectics,,2,,,
Dialects,,2,,,
Dialogue,,7,,,
diamond,,1,,,
Diary,,5,,,
differential,,1,,,
Differentiation,,8,,,
difficult,,1,,,
Difficulties,,1,,,
Difficulty,,1,,,
Digital,,15,,,
Digital Transformation,,1,,,
dilemmas,,1,,,
diligence,,2,,,
Diligent,,1,,,
Dimensional,,1,,,
Dimensionality Reduction,,2,,,
Dimensions,,2,,,
Dinosaurs,,1,,,
Diploma,,14,,,
Diplomacy,,4,,,
Diplomatic,,2,,,
Direct knowing,,1,,,
Direction,,1,,,
Directorate,,2,,,
Discern,,2,,,
Discerning,,25,,,
Discernment,,119,,,
Discipline,,27,,,
Disciplined,,2,,,
Discourse,,26,,,
Discover,,1,,,
Discovery,,139,,,
Discovery Channel,,1,,,
discreet,,3,,,
Discrete,,2,,,
Discretion,,4,,,
discriminate,,1,,,
Discriminating,,3,,,
Discrimination,,3,,,
Discussion,,11,,,
Discussions,,6,,,
Disease,,2,,,
Diseases,,1,,,
Disguise,,1,,,
Disinformation,,1,,,
disorder,,4,,,
disorders,,4,,,
Dispassionate,,1,,,
Dispute,,2,,,
Disruption,,9,,,
disruptor,,2,likely misspelled,,
Dissect,,1,,,
Dissection,,2,,,
Dissertation,,12,,,
Dissonance,,1,,,
Distance,,2,,,
Distinction,,8,,,
Distinctive,,1,,,
distinguishing,,1,,,
Distortion,,1,,,
dive,,1,,,
Divergence,,3,,,
Divergent,,4,,,
Divergent thinking,,3,,,
Diversification,,1,,,
Diversity,,11,,,
Division,,1,,,
DNA,,4,,likely an acronym,U.S. Defense Nuclear Agency
doctoral,,1,,,
Doctorate,,4,,,
doctrine,,1,,,
documentary,,1,,,
Documentation,,3,,,
Dog Trials,,1,,,
Dogecoin,,1,likely misspelled,,
domain,,1,,,
dominance,,3,,,
domination,,1,,,
Dopamine,,4,,,
Dossier,,1,,,
Double agents,,1,,,
Doubt,,1,,,
doyen,,1,,,
drawing,,1,,,
Dream,,6,,,
Dreamer,,1,,,
dreaming,,1,,,
Dreams,,15,,,
dress,,1,,,
Drive,,3,,,
Drone,,1,,,
Drones,,2,,,
Dualism,,1,,,
Duality,,1,,,
Dynamic,,8,,,
Dynamics,,4,,,
dynamo,,1,,,
E-commerce,,1,,,
E-learning,,6,,,
E=mc²,,2,likely misspelled,,
eager,,1,,,
Eagerness,,2,,,
earnest,,1,,,
ease,,2,,,
easy,,1,,,
Eavesdropping,,2,,,
Ebbinghaus,,1,likely misspelled,,
eccentric,,1,,,
Echo,,2,,,
Eco-friendly,,1,,,
Ecology,,2,,,
Economical,,4,,,
Economics,,1,,,
Economy,,1,,,
Ecosystem,,2,,,
edge,,7,,,
Edison,,3,,,
Educate,,1,,,
Educated,,13,,,
Education,,261,,,
Education policy,,1,,,
Education reform,,1,,,
Education system,,2,,,
Education technology,,5,,,
Educational,,2,,,
Educational Institutions,,1,,,
Educational placement,,2,,,
educator,,1,,,
Educators,,1,,,
EEG,,8,,likely an acronym,ElectroEncephaloGram
Effect,,2,,,
effective,,7,,,
Effectiveness,,3,,,
efficacy,,3,,,
Efficiencies,,1,,,
Efficiency,,73,,,
efficient,,7,,,
Effort,,4,,,
Effortless,,3,,,
Egypt,,1,,,
eidetic,,2,likely misspelled,,
Eigenvalues,,1,,,
Einstein,,42,,,
Elaboration,,1,,,
Elasticity,,4,,,
elders,,8,,,
Electric,,1,,,
Electric Vehicles,,1,,,
Electrical,,6,,,
electricity,,8,,,
electronic records,,1,,,
Electronics,,3,,,
Electrophysiology,,8,likely misspelled,,
Elegance,,1,,,
elements,,1,,,
Elicitation,,1,,,
elimination,,1,,,
elite,,5,,,
Elo,,1,likely misspelled,,
Elo rating,,1,likely misspelled,,
Elon Musk,,1,likely misspelled,,
Eloquent,,4,,,
Elucidation,,5,,,
elusive,,1,,,
Embeddings,,1,likely misspelled,,
Embodiment,,1,,,
embrace,,1,,,
emergence,,2,,,
Eminence,,2,,,
Emotion,,20,,,
emotional,,4,,,
Emotional intelligence,,7,,,
Emotional regulation,,1,,,
Emotions,,9,,,
Empathy,,37,,,
Empirical,,10,,,
Empiricism,,6,,,
employee,,1,,,
employment,,1,,,
Empowerment,,7,,,
Encephalopathy,,1,likely misspelled,,
Encoding,,11,,,
Encryption,,9,,,
Endorphins,,1,,,
Endowed,,1,,,
endowment,,5,,,
Endurance,,6,,,
enduring,,1,,,
energetic,,2,,,
Energy,,9,,,
Engage,,2,,,
engaged,,3,,,
Engagement,,21,,,
Engineering,,11,,,
Enhancement,,1,,,
Enigma,,7,,,
enigmatic,,1,,,
enlightened,,13,,,
Enlightened Despotism,,1,,,
Enlightenment,,158,,,
Enlightenment era,,1,,,
Enrichment,,2,,,
Enrollment,,1,,,
Ensemble,,2,,,
ensemble methods,,1,,,
Enterprise,,1,,,
Enterprising,,1,,,
Entertainment,,6,,,
enthusiasm,,1,,,
entrepreneur,,9,,,
Entrepreneurial,,3,,,
Entrepreneurs,,2,,,
Entrepreneurship,,10,,,
Environment,,13,,,
Environmental,,2,,,
envision,,1,,,
ephemeral,,1,,,
Epilepsy,,2,,,
Epiphany,,12,,,
Episodic,,2,,,
Epistemology,,3,,,
Epochs,,1,,,
EQ,,4,likely misspelled,likely an acronym,Emotional Quotient
Equable,,1,,,
Equal,,1,,,
Equality,,2,,,
Equanimity,,3,,,
Equation,,1,,,
Equations,,2,,,
Equerry,,1,,,
